	DATE	04/09/2007	19/09/2007	01/10/2007	12/10/2007	24/10/2007	01/11/2007	13/11/2007	24/11/2007	12/3/2007	12/12/2007	1/9/2008	1/25/2008	2/6/2008	2/15/2008	21/02/2008	24/03/2008	4/2/2008
MOWA	Mourning Warbler	-	Ob	Ob	-	-	-	-	Ob	-	-	Ob	Ob	Ob	-	-	-	-
NOBE	Northern Benbill	Ob	Ob	Ob	-	-	Ps	-	Ob	Ob	Ob	-	Ps	-	-	Ob	Oe	-
OBFL	Ochre Belied Flycatcher	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Oe	Ob	-	Ob	-	Ob	Ob	Ob
OLPI	Olivacous Piculet	-	Ob	-	-	Oe	-	-	-	-	Oe	Ob	-	-	-	Ps	-	-
OBNT	Orange Billed Nightingale Thrush	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-	Ob
OBSP	Orange Billed Sparrow	Ob	Ob	-	-	-	-	-	Ob	-	Ob	-	-	-	-	-	Ob	Ob
OCPA	Orange chinned Parakeet	Ob	Oe	Ps	-	Ps	Oo	-	Oo	Oo	Oe	-	Ob	Ob	-	Ps	Ps	Ps
OCMA	Orange Collared Manakin	-	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ps	-	Ps	-	Ob	Ob	Ob
PBWO	Pale Billed Woodpecker	-	-	-	-	-	Ps	Ps	Ps	Ps	-	-	Oe	-	-	Ps	Ps	Ps
PATA	Palm Tanager	-	-	-	-	-	-	-	-	-	-	-	-	Oe	-	-	-	-
PHVI	Philadelphia Vireo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Oe	-
PIFL	Piratic Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	Ps	-	-	-	-
PLAV	Plain Antvireo	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-
PLXE	Plain Xenops	-	-	-	-	Ob	Ob	-	-	-	Oe	-	Ob	-	-	-	Ob	Ob
RCMA	Red Capped Manakin	Ob	Ob	Ob	Ob	Ob	-	-	-	Ob	-	-	-	-	-	Ob	Ps	Ob
REVI	Red Eyed Vireo	-	-	Ob		-	-	-	-	-	-	-	-	-	-	-	-	-
RLHO	Red Legged Honeycreeper	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RIWR	Riverside Wren	-	-	-	-	Ps	-	-	Ps	Ps	Ps	Ps	-	Oe	-	-	-	-
ROHA	Roadside Hawk	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Oe	-	Ob	-	Ps	-	Oe	-
RBTH	Ruby Throated Hummingbird	-	-	-	-	Ob	-	-	-	OB	-	-	-	-	-	-	-	-
RQDO	Ruddy Quail Dove	-	-	-	-	-	Ob	-	-	-	-	-	Ob	-	-	-	-	-
RTFL	Ruddy Tailed Flycatcher	Ob	Ob	Ob	Ob	-	-	-	Ob	Ob	-	Ob	-	Ob	-	Ob	Ob	-
RUWO	Ruddy Woodcreeper	-	-	Ob	-	Ob	Ob	-	-	-	-	Ob	Ob	Oe	-	-	-	-
RBWR	Rufous Breasted Wren			-	-	-	-	-	-	Ob	-	-	-	PS	-	-	-	-
RTHU	Rufous Tailed Hummingbird	Ob	Oe	Ob	Oe	Ob	Oe	Oe	Ob	Ob	Oe	-	-	-	-	Ob	Ob	Ob
SBHU	Scaly Breasted Hummingbird	Ob	-	Ob	-	-	-	-	-	-	-	Ps	-	Oe	-	-	-	Oe
SRTA	Scarlet Rumped Tanager	Ob	-	Oe	-	Oe	Ps	-	Ps	Oe	Oe	-	-	-	-	Ps	Ps	Ps
SHHO	Shining Honeycreeper	-	-	-	-	-	-	-	-	-	-	Ps	Ps	Ps	-	-	-	-
SBPI	Short Billed Pigeon	Ps	Ps	-	Ps	-	Ps	-	-	-	Ps	-	-	-	-	Ps	Ps	Ps
SHTF	Slate headed Toddy Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
STTR	Slaty Tailed Trogon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ps	Oe
SOEA	Solitary Eagle	-	Ps	Ps	Ps	Ps	-	Ps	Ps	Oe	Ps	Ps	-	-	-	-	-	Ps
SPTA	Speckled Tanager	Oe	-	-	Ps	-	Oe	Oe	Ps	Oe	Oe	-	Oe	-	-	-	-	-
SCEU	Spotted Crowned Euphonia	Ps	-	Ps	Ps	Ps	-	Ps	-	-	Ps	-	-	-	-	-	-	Ps
SQCU	Squirrel Cuckoo	Ps	Ps	Ps	Ps	-	Oe	Oe	Oe	Ps	Ps	Ps	Oe	-	-	Oe	-	-
STFL	Streaked Flycatcher	-	-	-	Ob	-	Oe	-	-	-	-	-	-	-	-	-	-	-
SHWO	Streaked Headed Woodcreeper	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
STSA	Streaked Saltator	-	-	-	Ob	-	-	-	Ob	-	-	-	-	-	-	-	-	-
SBFL	Sulphur Rumped Flycatcher	-	-	-	-	-	Ob	-	-	-	Ob	-	-	-	-	-	-	-
SUTA	Summer Tanager	-	-	-	-	Oe	-	-	Ps	Ps	Ps	Ps	-	-	-	-	Ps	Oe
SWTH	Swainsons Thrush	-	-	Ob	Ob	Ob	Ob	Ob	-	-	Ob	-	Ps	Ob	-	Ob	Ob	Ob
TWWO	Tawny Winged Woodcreeper	Ob	Ob	-	Ob	-	Ob	-	-	Ob	-	-	-	-	-	Ob	-	Ob
TEWA	Tennessee Warbler	-	-	-	-	-	-	-	-	-	Ps	-	Oe	-	-	-	Oe	-
TBSF	Thick Billed Seed Finsch	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-
TRGN	Tropical Gnatcatcher	Ps	-	-	Ps	Ps	Ps	-	Ps	-	-	Ps	Ps	Oe	-	-	Ps	Ps
TUVU	Turkey Vulture	-	Oo	Oo	-	-	-	-	Ps	-	-	-	Oo	Oo	-	Oo	-	-
TUCO	Turquoise Cotinga	-	-	-	-	-	Ps	-	-	-	Ps	-	-	Ps	-	-	-	Ps
TCGR	Twany Crowned Greenlet	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-	-
VASE	Variable Seedeater	-	Ob	-	Ob	Ob	-	-	-	-	Ob	-	Ob	Oe	-	Ob	-	-
VITR	Violacous Trogon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ps	-
VCWO	Violet Crowned Woodnymph	Ob	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	Ob
WBWO	Wedge Billed Woodcreeper	-	-	-	Ps	-	-	-	-	-	-	-	Ob	Ob	-	Ob	-	Oe
WBWW	White Breasted Wood Wren	-	-	-	Ob	-	-	Ob	-	-	-	-	-	-	-	-	Ob	Ob
WCPA	White Crowned Parrot	Oe	Oe	Ps	Ps	Ps	Ps	-	Ps	Oo	Oe	Oe	Oe	Oo	-	-	-	-
WRMA	White Ruffed Manakin	-	-	-	-	-	-	-	Ob	-	-	Ob	-	-	-	-	-	-
WTRO	White Throated Robin	-	-	-	-	Oe	Ps	-	-	Oe	Ob	Ob	Ps	Ps	-	Ps	-	-
WTDO	White Tipped Dove	Ps	-	-	-	Oe	-	-	Ob	-	-	-	-	Oe	-	Oe	Ps	Oe
WWBE	White Winged Becard	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-
YBFL	Yellow Bellied Flycatcher	-	-	-	Ob	Ob	Oe	-	-	-	Oe	Ob	Oe	-	-	-	-	-
YHCA	Yellow Headed Caracara	-	-	-	-	-	-	-	-	Ps	Oo	-	-	-	-	-	-	-
YTVI	Yellow Throated Vireo	-	-	-	-	Oe	Oe	-	Oe	Oe	Oe	-	Oe	Oe	-	-	-	-
SPWO	Spotted Woodcreeper	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-
RUPH	Ruphous Phia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ps	Ps	-
RCAT	Red Crowned Ant Tanager	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	Ob
WOTH	Wood Thrush	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-
CRCA	Crested Caracara	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Oo
YOFL	Yellow Olive Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Oe
