"POSTAL_CODE","RANK","SCORE","DWELLINGS TOTAL","ACCUM. DWELLINGS","PT_DOG_%","PT_DOG_#","HHI over $100,000_%","HHI over $100,000_#"
M2N1Z4,5790,153,10,63094,26.10,3,59.23,6
M2N2B5,5791,153,14,63108,26.10,4,59.23,8
M6C1N1,5792,153,8,63116,28.20,2,50.13,4
L4J6L5,5793,153,15,63131,28.07,4,50.69,8
L4J6L2,5794,153,11,63142,28.07,3,50.69,6
M9B4N8,5795,153,22,63164,27.96,6,51.17,11
M5N1V9,5796,153,6,63170,25.60,2,61.37,4
M5N1X4,5797,153,8,63178,25.60,2,61.36,5
M5N1W8,5798,153,7,63185,25.60,2,61.36,4
M5N2T2,5799,153,3,63188,25.60,1,61.35,2
M3A3E2,5800,153,3,63191,25.32,1,62.55,2
M3A3G5,5801,153,12,63203,25.32,3,62.55,8
M3A2Z1,5802,153,11,63214,25.32,3,62.55,7
M3A3C8,5803,153,4,63218,25.32,1,62.55,3
M3A3G1,5804,153,9,63227,25.32,2,62.55,6
M3A3G6,5805,153,18,63245,25.32,5,62.55,11
M3A3B9,5806,153,40,63285,25.32,10,62.55,25
M5N1V7,5807,153,3,63288,25.59,1,61.38,2
M3A2Z6,5808,152,4,63292,25.32,1,62.55,3
M3A2Z5,5809,152,4,63296,25.32,1,62.55,3
M5P1K1,5810,152,4,63300,27.75,1,52.02,2
M3A3C9,5811,152,11,63311,25.32,3,62.55,7
M3A2Z2,5812,152,6,63317,25.32,2,62.54,4
M3A3G3,5813,152,10,63327,25.32,3,62.54,6
M3A3E1,5814,152,5,63332,25.32,1,62.54,3
M5N1X3,5815,152,3,63335,25.59,1,61.37,2
M9C4B7,5816,152,1,63336,30.29,0,41.01,0
M5N2S5,5817,152,8,63344,25.59,2,61.37,5
M3A3H1,5818,152,4,63348,25.32,1,62.54,3
M3A3G2,5819,152,5,63353,25.32,1,62.54,3
M5N2V8,5820,152,10,63363,25.59,3,61.36,6
M5P1K3,5821,152,5,63368,27.75,1,52.01,3
M5N2V9,5822,152,8,63376,25.59,2,61.36,5
M5N1V5,5823,152,9,63385,25.59,2,61.36,6
