"POSTAL_CODE","RANK","SCORE","DWELLINGS TOTAL","ACCUM. DWELLINGS","PT_DOG_%","PT_DOG_#","HHI over $100,000_%","HHI over $100,000_#"
M5M2E3,1,194,6,6,29.32,2,91.59,5
M5M3K9,2,194,9,15,29.32,3,91.56,8
M5M2E1,3,194,36,51,29.32,11,91.56,33
M5M2A9,4,194,37,88,29.32,11,91.56,34
M5M2E4,5,194,4,92,29.32,1,91.55,4
M5M2E2,6,194,5,97,29.32,1,91.54,5
M5M3P3,7,193,2,99,29.32,1,91.52,2
L3T3B7,8,191,4,103,26.83,1,99.89,4
L3T3S1,9,191,8,111,26.83,2,99.89,8
L3T3T9,10,191,7,118,26.83,2,99.88,7
L3T3T4,11,191,25,143,26.83,7,99.88,25
L3T3B6,12,191,21,164,26.83,6,99.88,21
L3T3T3,13,191,22,186,26.83,6,99.88,22
M5M3P4,14,191,9,195,28.87,3,90.81,8
M5M3N1,15,191,10,205,28.75,3,90.97,9
M5M3M9,16,190,12,217,28.58,3,90.80,11
M5M2S8,17,190,12,229,28.57,3,90.79,11
M5M3P6,18,186,1,230,27.65,0,89.86,1
M5M2T3,19,186,3,233,27.66,1,89.81,3
M5M2K4,20,186,10,243,27.65,3,89.83,9
M5M2T5,21,186,5,248,27.65,1,89.83,4
M5M3P9,22,186,5,253,27.65,1,89.83,4
M5M2L9,23,186,4,257,27.65,1,89.83,4
M5M3P8,24,186,6,263,27.65,2,89.83,5
M5M3R2,25,186,7,270,27.65,2,89.83,6
M5M2R3,26,186,3,273,27.65,1,89.83,3
M5M2M1,27,186,12,285,27.65,3,89.83,11
M5M2N6,28,186,12,297,27.65,3,89.82,11
M5M2S9,29,186,3,300,27.65,1,89.82,3
M5M2K2,30,186,7,307,27.65,2,89.82,6
M5M2J9,31,186,15,322,27.65,4,89.82,13
M5M2L8,32,186,7,329,27.65,2,89.81,6
M3A1P2,33,186,2,331,28.59,1,85.74,2
M5M2M2,34,186,9,340,27.65,2,89.81,8
M3A2K4,35,186,4,344,28.59,1,85.73,3
M3A2K6,36,186,9,353,28.59,3,85.72,8
M3A1P7,37,186,8,361,28.59,2,85.72,7
M3A1P6,38,186,19,380,28.59,5,85.72,16
M3A2L8,39,186,22,402,28.59,6,85.72,19
M3A1T4,40,186,24,426,28.59,7,85.71,21
M3A1R9,41,186,18,444,28.59,5,85.71,15
M3A1P5,42,186,9,453,28.59,3,85.71,8
M3A2M3,43,186,8,461,28.59,2,85.71,7
M3A2K3,44,186,4,465,28.59,1,85.71,3
M3A1S1,45,186,10,475,28.59,3,85.71,9
M3A2M9,46,186,1,476,28.59,0,85.69,1
M5M2K1,47,186,1,477,27.65,0,89.76,1
M5M3P7,48,186,1,478,27.65,0,89.76,1
M5M0A7,49,184,1,479,35.58,0,53.49,1
M4P2N3,50,184,3,482,28.13,1,85.68,3
M4P2K2,51,184,7,489,28.13,2,85.66,6
M4N1A5,52,184,26,515,28.13,7,85.66,22
M4P2B5,53,184,31,546,28.13,9,85.66,27
M4P2C2,54,184,25,571,28.13,7,85.65,21
M4P2B6,55,184,22,593,28.13,6,85.65,19
M4P2B9,56,184,37,630,28.13,10,85.65,32
M4P2C4,57,184,18,648,28.13,5,85.65,15
M4P2M7,58,184,4,652,28.13,1,85.64,3
M4P2M6,59,184,1,653,28.89,0,82.18,1
M4N2R2,60,183,7,660,24.75,2,100.00,7
M4N1K3,61,183,8,668,24.75,2,100.00,8
M4N1K4,62,183,9,677,24.75,2,100.00,9
M4N1J9,63,183,5,682,24.75,1,100.00,5
M4N1H2,64,183,8,690,24.75,2,100.00,8
M4N1K2,65,183,2,692,24.75,0,100.00,2
M4N1L7,66,183,4,696,24.75,1,100.00,4
M4N1H3,67,183,9,705,24.75,2,100.00,9
M4N2R3,68,183,7,712,24.75,2,100.00,7
M4N1E8,69,183,10,722,24.75,2,100.00,10
M4N1H4,70,183,7,729,24.75,2,100.00,7
M4N1K1,71,183,15,744,24.75,4,100.00,15
M4N2S7,72,183,2,746,24.75,0,100.00,2
M4N1H1,73,183,20,766,24.75,5,100.00,20
M4N1G2,74,183,9,775,24.75,2,100.00,9
M4N1L9,75,183,6,781,24.75,1,100.00,6
M4N1L4,76,183,8,789,24.75,2,100.00,8
M4N2T4,77,183,2,791,24.75,0,100.00,2
M4N2P6,78,183,3,794,24.74,1,100.00,3
M4N2S6,79,183,3,797,24.74,1,100.00,3
M4N2T3,80,183,3,800,24.74,1,100.00,3
M6C1Z3,81,182,1,801,27.65,0,85.55,1
M6C3J1,82,182,16,817,27.65,4,85.47,14
M6C3J2,83,182,20,837,27.65,6,85.47,17
M9C3V8,84,182,3,840,28.74,1,80.74,2
M6C3J6,85,182,18,858,27.65,5,85.47,15
M9C3V5,86,182,6,864,28.74,2,80.70,5
M9C4H2,87,182,16,880,28.74,5,80.70,13
M6C3G7,88,182,1,881,27.65,0,85.42,1
M6C1Z4,89,182,2,883,27.65,1,85.41,2
M6B0A7,90,181,8,891,28.81,2,80.07,6
M4G1Y6,91,181,3,894,29.21,1,78.07,2
M4G1S9,92,181,7,901,29.21,2,78.06,5
M4G3N3,93,181,9,910,29.21,3,78.06,7
M4G1Y7,94,181,5,915,29.21,1,78.06,4
M4G3H4,95,181,21,936,29.21,6,78.06,16
M4G1Z7,96,181,7,943,29.21,2,78.06,5
M4G3J9,97,181,4,947,29.21,1,78.06,3
M4G1Z9,98,181,8,955,29.21,2,78.06,6
M4G1S7,99,181,9,964,29.21,3,78.06,7
M4G3H3,100,181,6,970,29.21,2,78.06,5
M4G3N4,101,181,9,979,29.21,3,78.06,7
M4G3G6,102,181,23,1002,29.21,7,78.06,18
M4G3H5,103,181,11,1013,29.21,3,78.06,9
M4G3N5,104,181,8,1021,29.21,2,78.05,6
M4G3K1,105,181,17,1038,29.21,5,78.05,13
M4G2A7,106,181,10,1048,29.21,3,78.05,8
M4G1Y8,107,181,6,1054,29.21,2,78.05,5
M4G1V8,108,181,1,1055,29.21,0,78.03,1
M4G1Y4,109,181,2,1057,29.21,1,78.01,2
M4N3B5,110,181,5,1062,26.21,1,90.89,5
M4N2T9,111,181,1,1063,26.21,0,90.88,1
M4N1N4,112,181,10,1073,26.21,3,90.88,9
M4N1T3,113,181,4,1077,26.21,1,90.88,4
M4N1M3,114,181,18,1095,26.21,5,90.88,16
M4N1N8,115,181,16,1111,26.21,4,90.88,15
M4N1M2,116,181,7,1118,26.21,2,90.87,6
M4N1R2,117,181,12,1130,26.21,3,90.87,11
M4N1M4,118,181,6,1136,26.21,2,90.87,5
M4N1P6,119,181,12,1148,26.21,3,90.87,11
M4N1R3,120,181,18,1166,26.21,5,90.87,16
M4N1P7,121,181,18,1184,26.21,5,90.87,16
M4N3B6,122,181,14,1198,26.21,4,90.87,13
M4N1M1,123,181,6,1204,26.21,2,90.87,5
M4N1R4,124,181,2,1206,26.21,1,90.86,2
M4N3B7,125,181,4,1210,26.21,1,90.85,4
M3H1B8,126,181,2,1212,25.88,1,92.18,2
M3H1E5,127,181,5,1217,25.88,1,92.18,5
M3H1J5,128,181,3,1220,25.88,1,92.17,3
M3H1B6,129,181,5,1225,25.88,1,92.17,5
M3H1J7,130,181,10,1235,25.88,3,92.17,9
M3H1C9,131,181,6,1241,25.88,2,92.17,6
M3H1B7,132,181,3,1244,25.88,1,92.17,3
M3H1J8,133,181,12,1256,25.88,3,92.16,11
M3H1J6,134,181,4,1260,25.88,1,92.16,4
M3H1E3,135,181,27,1287,25.88,7,92.16,25
M3H1J9,136,181,15,1302,25.88,4,92.16,14
M3H1E1,137,181,8,1310,25.88,2,92.16,7
M3H1K3,138,181,11,1321,25.88,3,92.16,10
M3H1E2,139,181,10,1331,25.88,3,92.16,9
M3H1K1,140,181,13,1344,25.88,3,92.16,12
M3H1E4,141,181,3,1347,25.88,1,92.15,3
M9C2H2,142,181,1,1348,30.09,0,73.84,1
M9C2G8,143,181,1,1349,30.09,0,73.82,1
M4N3B3,144,181,7,1356,26.14,2,90.88,6
M4T1L3,145,180,2,1358,26.04,1,90.99,2
M4T1L2,146,180,3,1361,26.04,1,90.97,3
M5M0A4,147,180,1,1362,31.92,0,64.92,1
M5P3A6,148,180,1,1363,26.59,0,87.59,1
M5P3A4,149,180,1,1364,26.59,0,87.58,1
M5P1Z7,150,180,2,1366,26.59,1,87.58,2
M5P1Y3,151,180,3,1369,26.59,1,87.57,3
M5P1Y1,152,180,3,1372,26.59,1,87.57,3
M5P2X4,153,180,7,1379,26.59,2,87.57,6
M5P3B2,154,180,3,1382,26.59,1,87.57,3
M5P2R6,155,180,5,1387,26.59,1,87.57,4
M5P1X7,156,180,9,1396,26.59,2,87.56,8
M5P1W5,157,180,11,1407,26.59,3,87.56,10
M5P1X6,158,180,11,1418,26.59,3,87.56,10
M5P1X9,159,180,5,1423,26.59,1,87.56,4
M5P1Z1,160,180,6,1429,26.59,2,87.56,5
M5P2R5,161,180,10,1439,26.59,3,87.56,9
M5P3C6,162,180,11,1450,26.59,3,87.56,10
M5P3B1,163,180,7,1457,26.59,2,87.56,6
M5P3B4,164,180,8,1465,26.59,2,87.56,7
M5P1X8,165,180,11,1476,26.59,3,87.56,10
M5P3C8,166,180,5,1481,26.59,1,87.56,4
M5P3A3,167,180,15,1496,26.59,4,87.56,13
M5P3A5,168,180,6,1502,26.59,2,87.55,5
M5P1Y2,169,179,2,1504,26.59,1,87.54,2
M5P1W7,170,179,3,1507,26.59,1,87.54,3
M4T1G1,171,179,14,1521,26.52,4,87.54,12
M4T2L3,172,179,13,1534,26.52,3,87.54,11
M4T1J2,173,179,18,1552,26.52,5,87.53,16
M4G3K3,174,179,13,1565,28.24,4,80.08,10
M4T2K3,175,179,14,1579,26.52,4,87.53,12
M4T2H9,176,179,8,1587,26.52,2,87.53,7
M4T2K2,177,179,15,1602,26.52,4,87.53,13
M4T1J1,178,179,15,1617,26.52,4,87.53,13
M4T1L1,179,179,19,1636,26.52,5,87.53,17
M4T1P6,180,179,21,1657,26.52,6,87.53,18
M4T1J4,181,179,5,1662,26.52,1,87.53,4
M4T2H8,182,179,1,1663,26.52,0,87.51,1
M4G3J7,183,179,11,1674,28.16,3,80.38,9
M4G2A6,184,179,12,1686,28.18,3,80.19,10
M4G3N9,185,179,10,1696,28.11,3,80.35,8
M5M3L4,186,179,3,1699,27.48,1,83.07,2
M5M3L5,187,179,1,1700,27.48,0,83.05,1
M4G2E4,188,179,3,1703,28.10,1,80.34,2
M4G2A5,189,179,9,1712,28.10,3,80.34,7
M4G3N7,190,179,14,1726,28.10,4,80.34,11
M4G3K4,191,179,16,1742,28.10,4,80.34,13
M4G3N6,192,179,14,1756,28.10,4,80.33,11
M4G1P5,193,179,22,1778,28.10,6,80.33,18
M4G2E5,194,179,8,1786,28.10,2,80.33,6
M4G1P8,195,179,14,1800,28.10,4,80.33,11
M5N1R1,196,179,1,1801,27.62,0,82.39,1
M4G2A4,197,179,1,1802,28.10,0,80.25,1
M9C4H9,198,179,2,1804,27.98,1,80.75,2
M9C4C9,199,179,2,1806,27.98,1,80.73,2
M9C4S6,200,179,19,1825,27.98,5,80.71,15
M9C4H3,201,179,12,1837,27.98,3,80.71,10
M9C4H4,202,179,25,1862,27.98,7,80.71,20
M9C4C1,203,179,19,1881,27.98,5,80.70,15
M9C3V4,204,179,3,1884,27.98,1,80.69,2
M8X1P3,205,179,4,1888,28.26,1,79.26,3
M9C1M5,206,178,1,1889,29.45,0,73.82,1
M9C2T8,207,178,9,1898,29.45,3,73.79,7
M9C1M7,208,178,13,1911,29.45,4,73.79,10
M9C1N1,209,178,2,1913,29.45,1,73.77,1
M9C2T7,210,178,12,1925,29.44,4,73.79,9
M9C2G9,211,178,35,1960,29.44,10,73.79,26
M9C2H1,212,178,13,1973,29.44,4,73.78,10
M4G3M9,213,178,4,1977,27.88,1,80.40,3
M4G1S4,214,178,4,1981,27.88,1,80.39,3
M4G1V5,215,178,5,1986,27.88,1,80.39,4
M4G1V4,216,178,7,1993,27.88,2,80.39,6
M4G1N5,217,178,6,1999,27.88,2,80.38,5
M4G1M2,218,178,9,2008,27.88,3,80.38,7
M4G1N7,219,178,14,2022,27.88,4,80.38,11
M4G1N6,220,178,16,2038,27.88,4,80.38,13
M4G1S3,221,178,13,2051,27.88,4,80.38,10
M4G1W1,222,178,8,2059,27.88,2,80.38,6
M4G1M4,223,178,16,2075,27.88,4,80.38,13
M4G3J3,224,178,8,2083,27.88,2,80.38,6
M4G3N1,225,178,6,2089,27.88,2,80.38,5
M4G1H7,226,178,17,2106,27.88,5,80.38,14
M4G3J2,227,178,9,2115,27.88,3,80.38,7
M4G1M3,228,178,16,2131,27.88,4,80.38,13
M4G3J5,229,178,8,2139,27.88,2,80.37,6
M4G4H8,230,178,1,2140,27.88,0,80.36,1
M9C2H6,231,178,4,2144,29.31,1,73.80,3
M9C1N3,232,178,11,2155,29.31,3,73.79,8
M9A5G2,233,177,12,2167,28.89,3,75.22,9
M4N3R7,234,177,1,2168,25.95,0,87.90,1
L4H1X9,235,177,14,2182,34.00,5,52.79,7
M8Y4A5,236,177,1,2183,28.72,0,75.38,1
M9C1W6,237,177,3,2186,30.51,1,67.48,2
M9C1K9,238,177,17,2203,30.51,5,67.47,11
M9C1W8,239,177,5,2208,30.51,2,67.47,3
M5N1P9,240,177,1,2209,27.60,0,80.08,1
M5N1N9,241,177,2,2211,27.60,1,80.06,2
L4J0A3,242,176,6,2217,28.03,2,77.78,5
M4N3N4,243,176,7,2224,25.72,2,87.77,6
L4J6X8,244,176,10,2234,27.53,3,79.92,8
L4J6Z2,245,176,18,2252,27.53,5,79.92,14
L4J8A2,246,176,12,2264,27.53,3,79.92,10
L4J4V2,247,176,16,2280,27.53,4,79.92,13
L4J4V4,248,176,11,2291,27.53,3,79.92,9
L4J6X9,249,176,18,2309,27.53,5,79.92,14
M3B3C9,250,176,7,2316,26.14,2,85.91,6
M3B3G9,251,176,2,2318,26.14,1,85.91,2
M3B1T8,252,176,7,2325,26.14,2,85.91,6
M3B1T7,253,176,6,2331,26.14,2,85.91,5
M3B3E2,254,176,26,2357,26.14,7,85.91,22
M3B2J6,255,176,15,2372,26.14,4,85.91,13
M3B3C6,256,176,28,2400,26.14,7,85.91,24
M3B3B4,257,176,25,2425,26.14,7,85.91,21
M3B3B3,258,176,23,2448,26.14,6,85.91,20
M3B3E3,259,176,13,2461,26.14,3,85.90,11
M3B2H8,260,176,11,2472,26.14,3,85.90,9
M3B2J5,261,176,7,2479,26.14,2,85.90,6
M3B3H7,262,176,1,2480,26.14,0,85.87,1
M8X1P5,263,176,2,2482,27.64,1,79.30,2
M9B3B8,264,176,3,2485,28.20,1,76.86,2
M9B5W9,265,176,2,2487,28.20,1,76.86,2
M9B5X1,266,176,2,2489,28.20,1,76.86,2
M9B5J7,267,176,2,2491,28.20,1,76.85,2
M9B5Z1,268,176,7,2498,28.20,2,76.85,5
M9B2Z3,269,176,11,2509,28.20,3,76.85,8
M9B5X6,270,176,16,2525,28.20,5,76.85,12
M9B2Y9,271,176,8,2533,28.20,2,76.85,6
M9B3B6,272,176,23,2556,28.20,6,76.85,18
M9B3B9,273,176,7,2563,28.20,2,76.85,5
M9B3B4,274,176,26,2589,28.20,7,76.84,20
M9B5W8,275,176,12,2601,28.20,3,76.84,9
M8X1M6,276,176,3,2604,27.64,1,79.27,2
M9B3E8,277,176,3,2607,28.20,1,76.84,2
M9B3B5,278,176,17,2624,28.20,5,76.84,13
M8X2A4,279,176,3,2627,27.64,1,79.27,2
M9B5J8,280,176,15,2642,28.20,4,76.84,12
M8X1N7,281,176,6,2648,27.64,2,79.26,5
M8X1N3,282,176,5,2653,27.64,1,79.26,4
M9B5X2,283,176,5,2658,28.20,1,76.83,4
M8X2B4,284,176,6,2664,27.64,2,79.26,5
M8X1N5,285,176,6,2670,27.64,2,79.26,5
M8X2A6,286,176,12,2682,27.64,3,79.26,10
M8X1N8,287,176,5,2687,27.64,1,79.26,4
M8X2G7,288,176,17,2704,27.64,5,79.25,13
M8X2B1,289,176,15,2719,27.64,4,79.25,12
M9B5W7,290,176,2,2721,28.20,1,76.83,2
M8X2C6,291,176,18,2739,27.64,5,79.25,14
M8X2C9,292,176,13,2752,27.64,4,79.25,10
M8X2A8,293,176,3,2755,27.64,1,79.25,2
M8X2E3,294,176,18,2773,27.64,5,79.25,14
M9B3E6,295,176,2,2775,28.20,1,76.82,2
M8X2B2,296,176,14,2789,27.64,4,79.25,11
M8X2E4,297,176,17,2806,27.64,5,79.25,13
M8X2B3,298,176,11,2817,27.64,3,79.24,9
M8X2C8,299,176,17,2834,27.64,5,79.24,13
M8X1M8,300,176,7,2841,27.64,2,79.24,6
M8X2A2,301,176,3,2844,27.64,1,79.21,2
M4T1K9,302,176,20,2864,25.65,5,87.53,18
M5M2S7,303,176,13,2877,26.50,3,83.69,11
M4T2L5,304,176,1,2878,24.80,0,90.99,1
M4T2H4,305,176,1,2879,24.80,0,90.99,1
M4T1L5,306,176,2,2881,24.80,0,90.98,2
M4T2L4,307,176,4,2885,24.80,1,90.97,4
M4T2L1,308,176,4,2889,24.80,1,90.97,4
M4T1J3,309,176,5,2894,24.80,1,90.96,5
M4T2K4,310,176,10,2904,24.80,2,90.96,9
M4T2J8,311,176,8,2912,24.80,2,90.96,7
M4T1G2,312,176,14,2926,24.80,3,90.96,13
M4T1C8,313,176,7,2933,24.80,2,90.96,6
M4T1P7,314,176,7,2940,24.80,2,90.96,6
M4T1C7,315,176,40,2980,24.80,10,90.96,36
M4T1E1,316,176,7,2987,24.80,2,90.95,6
M4T1J7,317,176,8,2995,24.80,2,90.95,7
M4T2L2,318,176,3,2998,24.80,1,90.95,3
M4T2K9,319,176,7,3005,24.80,2,90.95,6
M4T2K1,320,176,7,3012,24.80,2,90.95,6
M4T1J6,321,176,8,3020,24.80,2,90.95,7
M4T1A7,322,176,9,3029,24.80,2,90.95,8
M4T1J5,323,176,7,3036,24.80,2,90.95,6
M4T2J9,324,176,8,3044,24.80,2,90.95,7
M4T1C9,325,176,7,3051,24.80,2,90.94,6
M4T1L4,326,176,2,3053,24.80,0,90.93,2
M9C2J3,327,176,11,3064,29.18,3,71.93,8
M9C2T2,328,176,7,3071,29.18,2,71.93,5
M9C2T1,329,176,18,3089,29.18,5,71.92,13
M9C2T3,330,176,8,3097,29.18,2,71.92,6
M8Y4E7,331,176,1,3098,28.37,0,75.42,1
M9C2H5,332,176,2,3100,29.18,1,71.89,1
M9C2T5,333,176,1,3101,29.18,0,71.89,1
M4T2H6,334,176,1,3102,24.79,0,90.90,1
M9A3M7,335,176,3,3105,27.18,1,80.48,2
M9A3M8,336,176,3,3108,27.18,1,80.47,2
M8X2T9,337,175,12,3120,28.39,3,75.11,9
M8X2T6,338,175,9,3129,28.39,3,75.11,7
M5M0A3,339,175,8,3137,30.70,2,65.07,5
M5M3L3,340,175,4,3141,26.39,1,83.46,3
M9A3M1,341,175,1,3142,27.97,0,76.44,1
M9A2Z5,342,175,3,3145,27.97,1,76.39,2
M9A3S3,343,175,6,3151,27.97,2,76.39,5
M9A3X5,344,175,3,3154,27.97,1,76.39,2
M9A2Y4,345,175,3,3157,27.97,1,76.39,2
M9A2X5,346,175,11,3168,27.97,3,76.39,8
M9A2Z1,347,175,4,3172,27.97,1,76.38,3
M9A3R3,348,175,8,3180,27.97,2,76.38,6
M9A3R1,349,175,15,3195,27.97,4,76.38,11
M9A3B9,350,175,3,3198,27.97,1,76.38,2
M9A2Z4,351,175,10,3208,27.97,3,76.38,8
M9A2Y6,352,175,10,3218,27.97,3,76.38,8
M9A3S4,353,175,34,3252,27.97,10,76.38,26
M9A2X2,354,175,2,3254,27.97,1,76.38,2
M9A3A4,355,175,28,3282,27.97,8,76.38,21
M9A2Y2,356,175,10,3292,27.97,3,76.37,8
M9A3S1,357,175,13,3305,27.97,4,76.37,10
M5M3R9,358,175,1,3306,28.26,0,75.11,1
M9A3S5,359,175,2,3308,27.97,1,76.37,2
M9A3T4,360,175,3,3311,27.97,1,76.37,2
M9A3B7,361,175,2,3313,27.97,1,76.37,2
M5M2Y9,362,175,2,3315,28.26,1,75.10,2
M9A3S2,363,175,2,3317,27.97,1,76.35,2
M5M2R4,364,175,2,3319,28.26,1,75.09,2
M5M3R6,365,175,1,3320,28.26,0,75.09,1
M5M3S3,366,175,5,3325,28.26,1,75.08,4
M5M3S2,367,175,6,3331,28.26,2,75.08,5
M5M2R5,368,175,3,3334,28.26,1,75.07,2
M5M2X8,369,175,9,3343,28.26,3,75.07,7
M5M2X7,370,175,9,3352,28.26,3,75.07,7
M5M2T6,371,175,12,3364,28.26,3,75.07,9
M5M2N7,372,175,10,3374,28.26,3,75.07,8
M5M2T7,373,175,10,3384,28.26,3,75.07,8
M5M3H6,374,175,6,3390,28.26,2,75.07,5
M5M3L9,375,175,16,3406,28.26,5,75.07,12
M5M4M5,376,175,1,3407,28.26,0,75.06,1
M5M3R5,377,175,5,3412,28.26,1,75.06,4
M5M3H4,378,175,5,3417,28.26,1,75.06,4
M5M3S1,379,175,11,3428,28.26,3,75.06,8
M5M3L8,380,175,16,3444,28.26,5,75.06,12
M5M2Z1,381,175,3,3447,28.26,1,75.06,2
M5M3H7,382,175,1,3448,28.26,0,75.03,1
L4J4S1,383,175,18,3466,27.62,5,77.78,14
L4J4S2,384,175,18,3484,27.62,5,77.78,14
L4J4S4,385,175,19,3503,27.62,5,77.78,15
L4J4S6,386,175,8,3511,27.62,2,77.78,6
L4J4R9,387,175,9,3520,27.62,2,77.78,7
L4J4S5,388,175,14,3534,27.62,4,77.78,11
L4J4R4,389,175,10,3544,27.62,3,77.78,8
L4J4S3,390,175,10,3554,27.62,3,77.78,8
L4J4R7,391,175,10,3564,27.62,3,77.77,8
L4J4R1,392,175,10,3574,27.62,3,77.77,8
M6C1Z5,393,175,3,3577,27.40,1,78.59,2
M6C3J5,394,175,18,3595,27.40,5,78.57,14
M6C3J7,395,175,2,3597,26.91,1,80.66,2
M6C3K3,396,175,4,3601,26.91,1,80.65,3
M6C3H6,397,175,5,3606,26.91,1,80.65,4
M6C2H5,398,175,14,3620,26.91,4,80.65,11
M6C2G5,399,175,16,3636,26.91,4,80.65,13
M6C3H5,400,175,5,3641,26.91,1,80.65,4
M6C2G6,401,175,12,3653,26.91,3,80.65,10
M6C2H3,402,175,9,3662,26.91,2,80.65,7
M6C2H4,403,175,15,3677,26.91,4,80.65,12
M6C2G4,404,175,8,3685,26.91,2,80.65,6
M6C2J7,405,175,16,3701,26.91,4,80.65,13
M6C3J9,406,175,7,3708,26.91,2,80.65,6
M6C3J8,407,175,5,3713,26.91,1,80.65,4
M6C2H2,408,175,9,3722,26.91,2,80.65,7
M6C2G3,409,175,7,3729,26.91,2,80.65,6
M6C3K1,410,175,6,3735,26.91,2,80.65,5
M6C2J5,411,175,9,3744,26.91,2,80.64,7
M6C2J8,412,175,16,3760,26.91,4,80.64,13
M6C2K4,413,175,13,3773,26.91,3,80.64,10
M6C3K2,414,175,7,3780,26.91,2,80.64,6
M6C3K4,415,175,5,3785,26.91,1,80.64,4
M4G2J5,416,175,13,3798,28.09,4,75.47,10
M8Y4G1,417,175,1,3799,28.09,0,75.47,1
M8Y2B7,418,175,4,3803,28.09,1,75.42,3
M8Y4C9,419,175,1,3804,28.09,0,75.42,1
M8Y4B1,420,175,4,3808,28.09,1,75.41,3
M8Y2B2,421,175,3,3811,28.09,1,75.41,2
M8Y2L4,422,175,9,3820,28.09,3,75.41,7
M8Y2C1,423,175,4,3824,28.09,1,75.41,3
M8Y2B5,424,175,3,3827,28.09,1,75.41,2
M8Y4A7,425,175,10,3837,28.09,3,75.41,8
M8Y2B4,426,175,3,3840,28.09,1,75.40,2
M8Y2A5,427,175,9,3849,28.09,3,75.40,7
M8Y2A4,428,175,12,3861,28.09,3,75.40,9
M8Y3K7,429,175,1,3862,28.09,0,75.40,1
M8Y2K3,430,175,9,3871,28.09,3,75.40,7
M8Y2G8,431,175,13,3884,28.09,4,75.40,10
M8Y2K5,432,175,14,3898,28.09,4,75.40,11
M8Y2L5,433,175,14,3912,28.09,4,75.40,11
M8Y2B9,434,175,6,3918,28.09,2,75.40,5
M8Y2H1,435,175,5,3923,28.09,1,75.40,4
M8Y2K4,436,175,8,3931,28.09,2,75.40,6
M8Y3K6,437,175,2,3933,28.09,1,75.40,2
M8Y2B8,438,175,10,3943,28.09,3,75.40,8
M8Y2K6,439,175,15,3958,28.09,4,75.40,11
M8Y4C8,440,174,3,3961,28.09,1,75.39,2
M8Y2A6,441,174,1,3962,28.09,0,75.39,1
M8Y2B6,442,174,6,3968,28.09,2,75.39,5
M8Y4E8,443,174,2,3970,28.09,1,75.39,2
M8Y4E9,444,174,5,3975,28.09,1,75.39,4
M5N1Y1,445,174,2,3977,27.47,1,78.07,2
M8Y4C7,446,174,2,3979,28.09,1,75.38,2
M8Y2B3,447,174,3,3982,28.09,1,75.38,2
M2J1A5,448,174,12,3994,28.62,3,73.07,9
M2J1B6,449,174,10,4004,28.62,3,73.07,7
M2J1B4,450,174,7,4011,28.62,2,73.06,5
M2J1C4,451,174,11,4022,28.62,3,73.06,8
M2J1E3,452,174,10,4032,28.62,3,73.06,7
M2J1A4,453,174,9,4041,28.62,3,73.06,7
M2J1H5,454,174,16,4057,28.62,5,73.06,12
M2J1C5,455,174,20,4077,28.62,6,73.06,15
M2J1E4,456,174,10,4087,28.62,3,73.06,7
M2J1B5,457,174,27,4114,28.62,8,73.06,20
M2J1E1,458,174,5,4119,28.62,1,73.06,4
M2J1A6,459,174,6,4125,28.62,2,73.05,4
L4L1T7,460,174,4,4129,33.28,1,52.79,2
M5N1T1,461,174,18,4147,26.44,5,82.39,15
M5N1W4,462,174,21,4168,26.44,6,82.38,17
M5N1R8,463,174,17,4185,26.44,4,82.38,14
M5N1N8,464,174,24,4209,26.44,6,82.38,20
M5N1V2,465,174,20,4229,26.44,5,82.38,16
M5N1P8,466,174,19,4248,26.44,5,82.38,16
M5N1P7,467,174,17,4265,26.44,4,82.38,14
M5N1S9,468,174,19,4284,26.44,5,82.38,16
M5N1V1,469,174,20,4304,26.44,5,82.38,16
M5N1R9,470,174,19,4323,26.44,5,82.38,16
M5N2R4,471,174,5,4328,26.44,1,82.38,4
M5N2R2,472,174,2,4330,26.44,1,82.38,2
M9C1X1,473,174,13,4343,29.86,4,67.48,9
M9C1S4,474,174,12,4355,29.86,4,67.48,8
M9C1S2,475,174,2,4357,29.86,1,67.44,1
M9C1W9,476,174,7,4364,29.83,2,67.49,5
M9C1W7,477,174,3,4367,29.83,1,67.46,2
M5N2H6,478,174,2,4369,27.38,1,78.07,2
M5N1W3,479,174,13,4382,27.38,4,78.07,10
M5N1X8,480,174,17,4399,27.38,5,78.06,13
M5N2R7,481,174,4,4403,27.38,1,78.06,3
M5N1X5,482,174,10,4413,27.38,3,78.06,8
M5N1X7,483,174,27,4440,27.38,7,78.06,21
M5N1X6,484,174,9,4449,27.38,2,78.06,7
M5N1W2,485,174,15,4464,27.38,4,78.06,12
M5N2H4,486,174,16,4480,27.38,4,78.06,12
M5N1T9,487,174,18,4498,27.38,5,78.06,14
M5N1W5,488,174,21,4519,27.38,6,78.06,16
M5N2X5,489,174,1,4520,27.38,0,78.06,1
M5N2X6,490,174,8,4528,27.38,2,78.06,6
M5N2X7,491,174,10,4538,27.38,3,78.06,8
M5N1X9,492,174,17,4555,27.38,5,78.06,13
M5N2R6,493,174,8,4563,27.38,2,78.06,6
M5N2R5,494,174,3,4566,27.38,1,78.05,2
M9C1S3,495,174,2,4568,29.83,1,67.44,1
M5N1Y2,496,174,2,4570,27.38,1,78.05,2
M5M2X6,497,174,3,4573,26.19,1,83.07,2
M5M3G8,498,174,6,4579,26.19,2,83.06,5
